,shift,regularisation type,regularisation magnitude,validation score
0,1,lasso,0.0001,0.517357552702033
1,2,lasso,0.0001,0.6545742265706973
2,3,lasso,0.0001,0.6960977545504116
3,4,lasso,0.0001,0.7156062558126883
4,5,lasso,0.0001,0.7256171306336585
5,6,lasso,0.0001,0.7321595638142678
6,7,lasso,0.0001,0.8982607704761975
7,8,lasso,0.0001,0.9047025669335753
8,9,lasso,0.0001,0.9055647771472319
9,10,lasso,0.0001,0.9053390522998669
10,1,ridge,0.0001,0.38211301472172804
11,2,ridge,0.0001,0.5905771800031783
12,3,ridge,0.0001,0.6574919548130074
13,4,ridge,0.0001,0.6852516141784948
14,5,ridge,0.0001,0.7011443549312725
15,6,ridge,0.0001,0.7114915499551513
16,7,ridge,0.0001,0.8896110605497203
17,8,ridge,0.0001,0.9211654937251635
18,9,ridge,0.0001,0.92906188218574
19,10,ridge,0.0001,0.9306128118309521
20,1,lasso,0.001,0.03009532202209786
21,2,lasso,0.001,0.08811162185931747
22,3,lasso,0.001,0.11444445188304608
23,4,lasso,0.001,0.12985086354558795
24,5,lasso,0.001,0.13830168229740672
25,6,lasso,0.001,0.14393833256323701
26,7,lasso,0.001,0.3028554834170363
27,8,lasso,0.001,0.29768124143836455
28,9,lasso,0.001,0.2974333431108994
29,10,lasso,0.001,0.2970457115133113
30,1,ridge,0.001,0.38213413423534526
31,2,ridge,0.001,0.5908216055642965
32,3,ridge,0.001,0.6575927131424195
33,4,ridge,0.001,0.685064301203697
34,5,ridge,0.001,0.7009331420118035
35,6,ridge,0.001,0.7113174680810224
36,7,ridge,0.001,0.8897190392880102
37,8,ridge,0.001,0.9212120721689466
38,9,ridge,0.001,0.9291358591958971
39,10,ridge,0.001,0.9306872764278664
40,1,lasso,0.01,-4.129156036231244
41,2,lasso,0.01,-4.205729141876516
42,3,lasso,0.01,-4.218795207527153
43,4,lasso,0.01,-4.23131929657183
44,5,lasso,0.01,-4.242585970323108
45,6,lasso,0.01,-4.252929225868735
46,7,lasso,0.01,-4.131988346143048
47,8,lasso,0.01,-4.201356219841168
48,9,lasso,0.01,-4.215068711213808
49,10,lasso,0.01,-4.223613709474874
50,1,ridge,0.01,0.38232858294143124
51,2,ridge,0.01,0.5922634930395586
52,3,ridge,0.01,0.6587562141987773
53,4,ridge,0.01,0.6856072357662637
54,5,ridge,0.01,0.7008831557893753
55,6,ridge,0.01,0.7110728005513486
56,7,ridge,0.01,0.8901725484049233
57,8,ridge,0.01,0.9216135426985128
58,9,ridge,0.01,0.9290758593603632
59,10,ridge,0.01,0.930548806562447
60,1,lasso,0.1,-4.172477350103831
61,2,lasso,0.1,-4.25275455574644
62,3,lasso,0.1,-4.267197829979362
63,4,lasso,0.1,-4.279914395654059
64,5,lasso,0.1,-4.291517170649383
65,6,lasso,0.1,-4.302079362058079
66,7,lasso,0.1,-4.310876717967321
67,8,lasso,0.1,-4.3810229607918725
68,9,lasso,0.1,-4.395605251897689
69,10,lasso,0.1,-4.4048991851519
70,1,ridge,0.1,0.38338765082917425
71,2,ridge,0.1,0.5942653441419371
72,3,ridge,0.1,0.6618252245924031
73,4,ridge,0.1,0.6887235654524646
74,5,ridge,0.1,0.7032299529833496
75,6,ridge,0.1,0.7124846203455938
76,7,ridge,0.1,0.8898867766265621
77,8,ridge,0.1,0.9233331048078222
78,9,ridge,0.1,0.9279548907136771
79,10,ridge,0.1,0.9288670948468007
80,1,lasso,1.0,-4.172477350103831
81,2,lasso,1.0,-4.25275455574644
82,3,lasso,1.0,-4.267197829979362
83,4,lasso,1.0,-4.279914395654059
84,5,lasso,1.0,-4.291517170649383
85,6,lasso,1.0,-4.302079362058079
86,7,lasso,1.0,-4.310876717967321
87,8,lasso,1.0,-4.3810229607918725
88,9,lasso,1.0,-4.395605251897689
89,10,lasso,1.0,-4.4048991851519
90,1,ridge,1.0,0.37299436540150727
91,2,ridge,1.0,0.5832624772017482
92,3,ridge,1.0,0.6528595872883131
93,4,ridge,1.0,0.6815584741303561
94,5,ridge,1.0,0.6968973061185986
95,6,ridge,1.0,0.7061736574215257
96,7,ridge,1.0,0.8741180655902208
97,8,ridge,1.0,0.8995414008148387
98,9,ridge,1.0,0.9038544788289503
99,10,ridge,1.0,0.9046373006044257
100,1,lasso,10.0,-4.172477350103831
101,2,lasso,10.0,-4.25275455574644
102,3,lasso,10.0,-4.267197829979362
103,4,lasso,10.0,-4.279914395654059
104,5,lasso,10.0,-4.291517170649383
105,6,lasso,10.0,-4.302079362058079
106,7,lasso,10.0,-4.310876717967321
107,8,lasso,10.0,-4.3810229607918725
108,9,lasso,10.0,-4.395605251897689
109,10,lasso,10.0,-4.4048991851519
110,1,ridge,10.0,0.15423481701931857
111,2,ridge,10.0,0.4293046407471676
112,3,ridge,10.0,0.5360493743876031
113,4,ridge,10.0,0.586304112325166
114,5,ridge,10.0,0.613669526020318
115,6,ridge,10.0,0.629781447335551
116,7,ridge,10.0,0.7746909360695476
117,8,ridge,10.0,0.7855708828216356
118,9,ridge,10.0,0.7908876881969491
119,10,ridge,10.0,0.7934580264564103
120,1,lasso,100.0,-4.172477350103831
121,2,lasso,100.0,-4.25275455574644
122,3,lasso,100.0,-4.267197829979362
123,4,lasso,100.0,-4.279914395654059
124,5,lasso,100.0,-4.291517170649383
125,6,lasso,100.0,-4.302079362058079
126,7,lasso,100.0,-4.310876717967321
127,8,lasso,100.0,-4.3810229607918725
128,9,lasso,100.0,-4.395605251897689
129,10,lasso,100.0,-4.4048991851519
130,1,ridge,100.0,-0.49958560732281115
131,2,ridge,100.0,-0.1995444164017109
132,3,ridge,100.0,-0.021818451983326305
133,4,ridge,100.0,0.0927799039661898
134,5,ridge,100.0,0.17032602838517705
135,6,ridge,100.0,0.2257264956950741
136,7,ridge,100.0,0.3776868913079562
137,8,ridge,100.0,0.3982407242387861
138,9,ridge,100.0,0.41950290534415036
139,10,ridge,100.0,0.43741254382314676
