,shift,units per layer,number of hidden layers,validation score
0,1,256,1,"tf.Tensor(-4.548942, shape=(), dtype=float32)"
1,5,256,1,"tf.Tensor(-4.9639354, shape=(), dtype=float32)"
2,10,256,1,"tf.Tensor(-0.5970323, shape=(), dtype=float32)"
3,1,512,1,"tf.Tensor(-4.5617723, shape=(), dtype=float32)"
4,5,512,1,"tf.Tensor(-0.5971673, shape=(), dtype=float32)"
5,10,512,1,"tf.Tensor(-4.9623146, shape=(), dtype=float32)"
6,1,1024,1,"tf.Tensor(-4.548942, shape=(), dtype=float32)"
7,5,1024,1,"tf.Tensor(-0.18927133, shape=(), dtype=float32)"
8,10,1024,1,"tf.Tensor(-4.9494686, shape=(), dtype=float32)"
9,1,256,2,"tf.Tensor(-4.548942, shape=(), dtype=float32)"
10,5,256,2,"tf.Tensor(-4.9639354, shape=(), dtype=float32)"
11,10,256,2,"tf.Tensor(-4.9623146, shape=(), dtype=float32)"
12,1,512,2,"tf.Tensor(-0.20183253, shape=(), dtype=float32)"
13,5,512,2,"tf.Tensor(-4.9639354, shape=(), dtype=float32)"
14,10,512,2,"tf.Tensor(-0.20220582, shape=(), dtype=float32)"
15,1,1024,2,"tf.Tensor(-4.548942, shape=(), dtype=float32)"
16,5,1024,2,"tf.Tensor(-4.9510903, shape=(), dtype=float32)"
17,10,1024,2,"tf.Tensor(-4.5546417, shape=(), dtype=float32)"
18,1,256,3,"tf.Tensor(-0.18900216, shape=(), dtype=float32)"
19,5,256,3,"tf.Tensor(-4.5431943, shape=(), dtype=float32)"
20,10,256,3,"tf.Tensor(-4.5546417, shape=(), dtype=float32)"
21,1,512,3,"tf.Tensor(-0.6007206, shape=(), dtype=float32)"
22,5,512,3,"tf.Tensor(-0.20211665, shape=(), dtype=float32)"
23,10,512,3,"tf.Tensor(-0.5970323, shape=(), dtype=float32)"
24,1,1024,3,"tf.Tensor(-0.18900216, shape=(), dtype=float32)"
25,5,1024,3,"tf.Tensor(-4.9510903, shape=(), dtype=float32)"
26,10,1024,3,"tf.Tensor(-4.9494686, shape=(), dtype=float32)"
