,shift,max depth,bootstrap,validation score
0,1,5.0,True,0.43389996858703206
1,2,5.0,True,0.5210415403351462
2,3,5.0,True,0.524949418981577
3,4,5.0,True,0.5262652429416763
4,5,5.0,True,0.5186936402663911
5,6,5.0,True,0.5129805082011868
6,7,5.0,True,0.5482725485320878
7,8,5.0,True,0.5417063149271371
8,9,5.0,True,0.5434272801515359
9,10,5.0,True,0.5432268970310361
10,1,5.0,False,0.26820941633382317
11,2,5.0,False,0.3531026254995375
12,3,5.0,False,0.3531608889331316
13,4,5.0,False,0.3508053767421554
14,5,5.0,False,0.40070078814046256
15,6,5.0,False,0.39875935719312283
16,7,5.0,False,0.5098551253684714
17,8,5.0,False,0.5028890202616747
18,9,5.0,False,0.5035787467276873
19,10,5.0,False,0.5023428260662082
20,1,10.0,True,0.5007431335545603
21,2,10.0,True,0.6205267310792357
22,3,10.0,True,0.6355746680129792
23,4,10.0,True,0.6373904281999853
24,5,10.0,True,0.6419089891886325
25,6,10.0,True,0.6356536397644929
26,7,10.0,True,0.7890656010637742
27,8,10.0,True,0.7956961646148356
28,9,10.0,True,0.79805622340181
29,10,10.0,True,0.8011077590531339
30,1,10.0,False,-0.6212744538434877
31,2,10.0,False,-0.0765370039274315
32,3,10.0,False,-0.36324187004804437
33,4,10.0,False,-0.11608131852138708
34,5,10.0,False,0.01823313416469574
35,6,10.0,False,0.09901869087772171
36,7,10.0,False,0.721484785782117
37,8,10.0,False,0.6982432824718163
38,9,10.0,False,0.7484107196997036
39,10,10.0,False,0.7442595254106215
40,1,20.0,True,0.4114261655989503
41,2,20.0,True,0.5136380329712307
42,3,20.0,True,0.5582801043750142
43,4,20.0,True,0.5524612047927361
44,5,20.0,True,0.5723712738030791
45,6,20.0,True,0.6046043813328412
46,7,20.0,True,0.038363924433229536
47,8,20.0,True,0.8284445552449305
48,9,20.0,True,0.8280786439154323
49,10,20.0,True,0.8257635628224296
50,1,20.0,False,-0.9111086543882466
51,2,20.0,False,-0.4774599488519309
52,3,20.0,False,-0.6504918982201168
53,4,20.0,False,-0.5549255230962612
54,5,20.0,False,-0.34834682153671126
55,6,20.0,False,-0.05580485844827345
56,7,20.0,False,-1.3777547370603986
57,8,20.0,False,0.699186113217221
58,9,20.0,False,0.7483340083049891
59,10,20.0,False,0.7383853291619168
60,1,40.0,True,0.4069354557840703
61,2,40.0,True,0.5098567233808686
62,3,40.0,True,0.5547734090891943
63,4,40.0,True,0.5573373854374088
64,5,40.0,True,0.5647334956184318
65,6,40.0,True,0.5950888251387124
66,7,40.0,True,0.17488253484415095
67,8,40.0,True,0.8265500853581553
68,9,40.0,True,0.8259940101011853
69,10,40.0,True,0.8300999675367853
70,1,40.0,False,-0.9334800469160228
71,2,40.0,False,-0.5179995744328924
72,3,40.0,False,-0.7233791526569633
73,4,40.0,False,-0.8950904428836581
74,5,40.0,False,-0.34925077959617445
75,6,40.0,False,-0.057787407843137475
76,7,40.0,False,-1.4061243845590217
77,8,40.0,False,0.7114827294037144
78,9,40.0,False,0.7523915939734007
79,10,40.0,False,0.7412473232434744
80,1,,True,0.4066939915818013
81,2,,True,0.510639851968856
82,3,,True,0.5561596622575856
83,4,,True,0.5575053593693481
84,5,,True,0.564117515262734
85,6,,True,0.5956274777475463
86,7,,True,0.16253945202724748
87,8,,True,0.8201299596223045
88,9,,True,0.8280944142218829
89,10,,True,0.8256350669133165
90,1,,False,-0.9333253315522375
91,2,,False,-0.5179995744328924
92,3,,False,-0.7245239634853212
93,4,,False,-0.895523438686002
94,5,,False,-0.35232257341937845
95,6,,False,-0.057787407843137475
96,7,,False,-1.4061243845590217
97,8,,False,0.717468803575683
98,9,,False,0.7473650702380705
99,10,,False,0.7371325168114022
